elapsed, window, total, successful, failed
10.002365, 10.002365, 467848, 467848, 0
20.001047, 9.998682, 431854, 431841, 13
30.000911, 9.999864, 440478, 440473, 5
40.001988, 10.001077, 447059, 447045, 14
50.001932, 9.999944, 434350, 434350, 0
60.002851, 10.000919, 409401, 409401, 0
70.002087, 9.999236, 452435, 452419, 16
80.000808, 9.998721, 428471, 428471, 0
90.002293, 10.001485, 441062, 441062, 0
100.001235, 9.998942, 442785, 442767, 18
110.001068, 9.999833, 440355, 440338, 17
120.001322, 10.000254, 439246, 439245, 1
130.001171, 9.999849, 433537, 433537, 0
140.002253, 10.001082, 442561, 442561, 0
150.001186, 9.998933, 436372, 436372, 0
160.000796, 9.99961, 433288, 433270, 18
170.002208, 10.001412, 442155, 442130, 25
180.000907, 9.998699, 445741, 445738, 3
190.001949, 10.001042, 442506, 442505, 1
200.001987, 10.000038, 426632, 426632, 0
210.001952, 9.999965, 425272, 425272, 0
220.002154, 10.000202, 451017, 451013, 4
230.000907, 9.998753, 439395, 439395, 0
240.001955, 10.001048, 429168, 429168, 0
250.002342, 10.000387, 420901, 420901, 0
260.000893, 9.998551, 436258, 436243, 15
270.001839, 10.000946, 442082, 442056, 26
280.002166, 10.000327, 457409, 457387, 22
290.002283, 10.000117, 438924, 438924, 0
300.000828, 9.998545, 440348, 440348, 0
310.001869, 10.001041, 425989, 425989, 0
320.002073, 10.000204, 412716, 412716, 0
330.001941, 9.999868, 438700, 438700, 0
340.00233, 10.000389, 439595, 439579, 16
350.00123, 9.9989, 431130, 431130, 0
360.00101, 9.99978, 444948, 444927, 21
370.002208, 10.001198, 437096, 437095, 1
380.001178, 9.99897, 430871, 430860, 11
390.002328, 10.00115, 348171, 348166, 5
400.000985, 9.998657, 403835, 403819, 16
410.001796, 10.000811, 454711, 454711, 0
420.001982, 10.000186, 449752, 449752, 0
430.001879, 9.999897, 431851, 431851, 0
440.011665, 10.009786, 438678, 438675, 3
450.001321, 9.989656, 441724, 441707, 17
460.001039, 9.999718, 437137, 437121, 16
470.001906, 10.000867, 427364, 427354, 10
480.001959, 10.000053, 437694, 437684, 10
490.002145, 10.000186, 440520, 440520, 0
500.00106, 9.998915, 425662, 425662, 0
510.001855, 10.000795, 412160, 412160, 0
520.002053, 10.000198, 420520, 420499, 21
530.002138, 10.000085, 435758, 435758, 0
540.000897, 9.998759, 445602, 445602, 0
550.001897, 10.001, 434767, 434767, 0
560.002165, 10.000268, 438546, 438531, 15
570.001003, 9.998838, 447762, 447762, 0
580.002342, 10.001339, 436194, 436175, 19
590.001096, 9.998754, 430000, 429986, 14
600.002072, 10.000976, 423508, 423508, 0
610.001625, 9.999553, 419810, 419799, 11
620.001107, 9.999482, 413634, 413634, 0
630.001159, 10.000052, 441039, 441037, 2
640.001222, 10.000063, 431757, 431757, 0
650.000837, 9.999615, 452134, 452120, 14
660.002566, 10.001729, 441222, 441222, 0
670.000964, 9.998398, 422564, 422564, 0
680.001902, 10.000938, 433992, 433992, 0
690.002089, 10.000187, 431940, 431932, 8
700.000885, 9.998796, 445010, 445010, 0
710.002492, 10.001607, 405653, 405653, 0
720.001178, 9.998686, 450987, 450977, 10
730.00102, 9.999842, 434582, 434582, 0
740.001052, 10.000032, 426952, 426952, 0
750.000881, 9.999829, 430763, 430756, 7
760.002354, 10.001473, 434249, 434233, 16
770.001176, 9.998822, 429208, 429195, 13
780.001325, 10.000149, 440526, 440511, 15
790.001563, 10.000238, 430075, 430075, 0
800.003613, 10.00205, 434421, 434421, 0
810.002056, 9.998443, 447983, 447963, 20
820.001276, 9.99922, 437853, 437853, 0
830.000989, 9.999713, 447717, 447706, 11
840.002251, 10.001262, 441210, 441193, 17
850.001061, 9.99881, 427665, 427657, 8
860.001058, 9.999997, 409236, 409236, 0
870.000889, 9.999831, 434467, 434467, 0
880.002184, 10.001295, 437560, 437560, 0
890.001086, 9.998902, 441649, 441626, 23
900.001131, 10.000045, 439871, 439862, 9
901.008192, 1.007061, 13069, 13069, 0
